Metabolites	isotopologues	Intracellular_16_01	Intracellular_16_02	Intracellular_16_03	Intracellular_16_04	Intracellular_16_05	Theoretical CID
Phenylalanine	M2	-0.479787498421851	-0.642787498421851	-0.386787498421851	-0.342787498421851	-0.432787498421851	0
Phenylalanine	M3	-0.318686448428154	-0.315686448428154	-0.287686448428154	-0.293686448428154	-0.300686448428156	0
Phenylalanine	M4	-0.588199214867219	-0.287199214867218	-0.134199214867217	-0.37519921486722	-0.385199214867218	0
Phenylalanine	M5	0.034236710142227	-0.00776328985777341	-0.0967632898577736	0.0112367101422289	0.0112367101422289	0
Phenylalanine	M6	0.0891864515781438	0.104186451578142	-0.114813548421858	0.112186451578145	0.234186451578144	0
Phenylalanine	M7	-0.0961624984281498	-0.0511624984281506	-0.190162498428149	-0.22816249842815	-0.13616249842815	0
Phenylalanine	M8	-0.407343356644535	-0.500343356644534	-0.390343356644535	-0.427343356644534	-0.494343356644534	0
Phenylalanine	M9	-0.174824869142964	-0.183824869142964	-0.170824869142964	-0.180824869142964	-0.183824869142964	0
Proline	M0	-0.7853752502501	-1.0983752502501	-0.8633752502501	-0.6943752502501	-0.9963752502501	0
Proline	M1	-0.997874749249503	-1.2688747492495	-1.2748747492495	-0.540874749249504	-0.871874749249504	0
Proline	M2	1.33775049949901	2.54775049949901	2.16275049949901	2.472750499499	2.161750499499	0
Proline	M3	2.990749499501	2.746749499501	2.676749499501	2.503749499501	2.192749499501	0
Proline	M4	-0.2803752492505	-0.922375249250501	-0.558375249250501	-1.7863752492505	-0.401375249250502	0
Proline	M5	-2.2648747502499	-2.0048747502499	-2.1428747502499	-1.9548747502499	-2.0848747502499	0
Serine	M0	21.6068499	23.4748499	20.4808499	20.3768499	23.1978499	0
Serine	M1	-8.3018497	-7.4738497	-3.77584969999999	-5.42484969999999	-8.0138497	0
Serine	M2	-5.6218503	-7.6968503	-9.1028503	-7.4708503	-7.7658503	0
Serine	M3	-7.6831499	-8.3041499	-7.6011499	-7.4811499	-7.4181499	0
Threonine	M0	-1.7801502001	-1.9271502001	-1.7931502001	-1.8911502001	-2.0451502001	0
Threonine	M1	0.334000400400003	0.405000400400002	-0.426999599599998	-1.3179995996	-0.783999599599999	0
Threonine	M2	4.59229999940001	5.19629999940001	6.45029999940001	6.49729999940001	6.5822999994	0
Threonine	M3	0.679999600400003	-0.2830003996	-0.689000399600001	0.211999600400001	-0.2550003996	0
Threonine	M4	-3.8261498001	-3.3921498001	-3.5411498001	-3.4991498001	-3.4971498001	0
Tryptophan	M0	-0.0499131506491608	89.1830868493508	89.1270868493508	-0.0499131506491608	89.0920868493508	0
Tryptophan	M1	-0.546852862102283	10.1831471378977	10.2111471378977	-0.546852862102283	10.2691471378977	0
Tryptophan	M2	-2.72334908372295	-2.72334908372295	-2.72334908372295	11.0676509162771	-2.72334908372295	0
Tryptophan	M3	38.8295677079177	-8.13743229208234	-8.13743229208234	-8.13743229208234	-8.13743229208234	0
Tryptophan	M4	-16.2098950648666	-16.2098950648666	-16.1938950648666	-16.2098950648666	-16.2098950648666	0
Tryptophan	M5	-22.6032588668978	-22.5902588668978	-22.5922588668978	-22.6032588668978	-22.6032588668978	0
Tryptophan	M6	3.15497370342911	-22.5130262965709	-22.5020262965709	18.6409737034291	-22.4990262965709	0
Tryptophan	M7	-16.0165385257897	-16.0165385257897	-16.0125385257897	-16.0165385257897	-16.0045385257897	0
Tryptophan	M8	12.5346998758792	-7.9653001241208	-7.9743001241208	27.7536998758792	-7.9663001241208	0
Tryptophan	M9	-1.40015286888641	-2.63815286888641	-2.63715286888641	-2.64815286888641	-2.64815286888641	0
Tryptophan	M10	-0.527516280069589	-0.526516280069589	-0.519516280069589	-0.527516280069589	-0.524516280069589	0
Tryptophan	M11	5.55823541575853	-0.0457645842414671	-0.0457645842414671	9.27723541575853	-0.0447645842414671	0
Tyrosine	M0	-0.198856381644539	0.557143618355461	0.610143618355461	0.513143618355461	0.706143618355461	0
Tyrosine	M1	-1.78256289414296	-1.21256289414296	-1.25556289414296	-1.26956289414296	-1.19656289414296	0
Tyrosine	M2	-3.77478749842185	-3.63578749842185	-4.05678749842185	-4.11578749842185	-4.05778749842185	0
Tyrosine	M3	-0.543686448428155	0.0843135515718463	-0.488686448428155	-0.596686448428155	-0.699686448428155	0
Tyrosine	M4	6.98780078513278	5.03680078513278	6.22580078513278	5.85280078513278	5.98680078513278	0
Tyrosine	M5	6.87123671014223	4.81523671014223	6.00723671014223	6.10923671014223	5.81723671014223	0
Tyrosine	M6	-1.72081354842186	-0.374813548421857	-1.42681354842186	-0.993813548421857	-0.963813548421857	0
Tyrosine	M7	-3.91316249842815	-3.79716249842815	-4.11416249842815	-3.97916249842815	-4.12816249842815	0
Tyrosine	M8	-1.73334335664453	-1.28134335664453	-1.30934335664453	-1.32734335664453	-1.27234335664453	0
Tyrosine	M9	-0.191824869142964	-0.191824869142964	-0.191824869142964	-0.191824869142964	-0.191824869142964	0
Valine	M0	-0.1203752502501	0.2206247497499	0.3886247497499	0.9006247497499	0.5846247497499	0
Valine	M1	-0.351874749249503	-0.570874749249503	0.0941252507504958	-0.0768747492495031	-0.0368747492495047	0
Valine	M2	1.511750499499	1.66575049949901	0.939750499499004	0.893750499499008	0.489750499499009	0
Valine	M3	2.024749499501	1.531749499501	1.054749499501	0.848749499501	1.237749499501	0
Valine	M4	-1.1503752492505	-1.0063752492505	-0.836375249250501	-0.972375249250501	-0.450375249250501	0
Valine	M5	-1.9138747502499	-1.8408747502499	-1.6408747502499	-1.5938747502499	-1.8238747502499	0
