Metabolites	isotopologues	Proteinogenic_40_01	Proteinogenic_40_02	Proteinogenic_40_03	Proteinogenic_40_04	Proteinogenic_40_05	Proteinogenic_400_01	Proteinogenic_400_02	Proteinogenic_400_03	Proteinogenic_400_04	Proteinogenic_400_05	Proteinogenic_400_06	Proteinogenic_400_07	Proteinogenic_400_08	Proteinogenic_400_09	Proteinogenic_400_10	Proteinogenic_1600_01	Proteinogenic_1600_02	Proteinogenic_1600_03	Proteinogenic_1600_04	Proteinogenic_1600_05	Proteinogenic_12800_01	Proteinogenic_12800_02	Proteinogenic_12800_03	Proteinogenic_12800_04	Proteinogenic_12800_05	Proteinogenic_25600_01	Proteinogenic_25600_02	Proteinogenic_25600_03	Proteinogenic_25600_04	Proteinogenic_25600_05	Proteinogenic_51200_01	Proteinogenic_51200_02	Proteinogenic_51200_03	Proteinogenic_51200_04	Proteinogenic_51200_05	Proteinogenic_512000_01	Proteinogenic_512000_02	Proteinogenic_512000_03	Proteinogenic_512000_04	Proteinogenic_512000_05	Theoretical CID
Valine	M0	0.3606247497499	0.2946247497499	0.3186247497499	0.2966247497499	0.3436247497499	0.5776247497499	0.6796247497499	0.6896247497499	0.6846247497499	0.5836247497499	0.6546247497499	0.5616247497499	0.6416247497499	0.5896247497499	0.6346247497499	0.7486247497499	0.9266247497499	0.8906247497499	0.7176247497499	0.7386247497499	4.1326247497499	1.7616247497499	4.1026247497499	1.8686247497499	2.8086247497499	2.2586247497499	4.2266247497499	2.7446247497499	2.4846247497499	3.0956247497499	19.2266247497499	20.7096247497499	14.9466247497499	22.7146247497499	24.4016247497499	18.8536247497499	20.2596247497499	14.1916247497499	29.6016247497499	29.8236247497499	0
Valine	M1	-0.249874749249504	-0.155874749249504	-0.223874749249503	-0.229874749249503	-0.359874749249503	0.693125250750495	0.979125250750496	0.886125250750497	1.0001252507505	0.748125250750498	0.972125250750497	0.703125250750497	0.900125250750497	0.760125250750496	0.913125250750496	0.00912525075049686	0.173125250750497	0.120125250750497	0.307125250750498	0.175125250750496	-0.573874749249503	-0.171874749249504	-0.690874749249504	-0.307874749249504	-0.410874749249504	-0.354874749249504	-0.562874749249503	-0.331874749249503	-0.294874749249505	-0.465874749249504	-2.6848747492495	-3.1248747492495	-1.9778747492495	-3.3108747492495	-3.6468747492495	-2.9568747492495	-3.3198747492495	-2.0538747492495	-4.2748747492495	-4.1958747492495	0
Valine	M2	-0.526249500500992	-0.455249500500993	-0.475249500500996	-0.606249500500994	-0.396249500500995	-0.882249500500992	-0.905249500500993	-1.01524950050099	-0.978249500500994	-0.971249500500992	-1.03224950050099	-0.848249500500992	-0.952249500500996	-0.926249500500992	-0.929249500500995	-0.592249500500996	-0.854249500500992	-0.726249500500992	-0.697249500500996	-0.751249500500994	-1.22524950050099	-0.340249500500994	-1.10524950050099	-0.429249500500994	-0.537249500500991	-0.0652495005009912	-0.855249500500993	-0.270249500500996	-0.200249500500993	-0.477249500500992	-5.415249500501	-5.93924950050099	-4.04824950050099	-6.82024950050099	-7.41024950050099	-4.48624950050099	-5.01924950050099	-3.28524950050099	-8.786249500501	-8.66024950050099	0
Valine	M3	0.0877494995009998	0.103749499501005	0.0877494995009998	0.195749499501002	0.224749499501004	-0.591250500498997	-0.647250500498997	-0.754250500498999	-0.682250500498999	-0.489250500499	-0.659250500498998	-0.477250500498999	-0.620250500498998	-0.521250500498999	-1.195250500499	-0.204250500498998	-0.385250500498996	-0.370250500498998	-0.336250500498997	-0.389250500499	-0.998250500498998	-0.126250500498998	-0.778250500498995	-0.197250500498997	-0.490250500498995	-0.0212505004989982	-0.623250500498995	-0.224250500498996	-0.155250500498999	-0.249250500498999	-5.285250500499	-5.608250500499	-3.806250500499	-6.257250500499	-6.895250500499	-4.484250500499	-4.759250500499	-2.598250500499	-8.028250500499	-8.625250500499	0
Valine	M4	0.3166247507495	0.181624750749498	0.2916247507495	0.348624750749499	0.2136247507495	0.179624750749499	-0.0963752492505021	0.2466247507495	-0.0023752492504997	0.112624750749499	0.0326247507494992	0.0646247507494979	0.0826247507494993	0.0926247507494982	0.4916247507495	0.117624750749498	0.1666247507495	0.1136247507495	0.0836247507495003	0.275624750749498	-0.5683752492505	-0.3523752492505	-0.687375249250502	-0.2193752492505	-0.5103752492505	-0.564375249250501	-0.986375249250501	-0.562375249250502	-0.6523752492505	-0.6493752492505	-3.6993752492505	-3.8493752492505	-3.0723752492505	-4.1443752492505	-4.1753752492505	-4.4553752492505	-4.6253752492505	-3.7653752492505	-5.8253752492505	-5.7183752492505	0
Valine	M5	0.0111252497501001	0.0311252497501	0.00112524975009985	-0.0048747502498999	-0.0268747502499	0.0241252497501	-0.00987475024990005	-0.0528747502499	-0.0208747502498999	0.0161252497500999	0.0321252497501003	-0.00387475024989994	-0.0518747502499001	0.00412524975010008	0.0851252497500999	-0.0788747502499	-0.0268747502499	-0.0278747502499	-0.0758747502499001	-0.0478747502498999	-0.7668747502499	-0.7718747502499	-0.8408747502499	-0.7158747502499	-0.8588747502499	-1.2528747502499	-1.1988747502499	-1.3558747502499	-1.1818747502499	-1.2538747502499	-2.1418747502499	-2.1888747502499	-2.0418747502499	-2.1818747502499	-2.2738747502499	-2.4698747502499	-2.5358747502499	-2.4878747502499	-2.6878747502499	-2.6238747502499	0
Asparagine	M0	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	-6.3001502001	0
Asparagine	M1	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	-25.0999995996	0
Asparagine	M2	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	-37.4997000006	0
Asparagine	M3	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	-24.9000003996	0
