sample	metabolite	derivative	isotopologue	area	corrected_area	isotopologue_fraction	residuum	mean_enrichment
Proteinogenic_512000_04	Alanine		3	147614.0	148674.79371780666	0.1116262613909924	1.3226128143284057e-16	0.43604116980376234
Proteinogenic_512000_05	Alanine		0	299772.0	302613.00985954545	0.2289747052057701	-4.443064953599547e-17	0.445278896286597
Proteinogenic_512000_05	Alanine		1	417461.0	421186.83012130664	0.3186945938257614	-4.443064953599547e-17	0.445278896286597
Proteinogenic_512000_05	Alanine		2	445247.0	449145.8289697398	0.3398500078713763	8.886129907199094e-17	0.445278896286597
Proteinogenic_512000_05	Alanine		3	147599.0	148654.503381106	0.11248069309709231	8.886129907199094e-17	0.445278896286597
Proteinogenic_51200_01	Alanine		0	347074.0	350363.30205620226	0.1703137297351056	0.0	0.48146869210214577
Proteinogenic_51200_01	Alanine		1	695374.0	701697.2984665334	0.34109931989313297	0.0	0.48146869210214577
Proteinogenic_51200_01	Alanine		2	739157.0	745627.5760098126	0.36245409470198	0.0	0.48146869210214577
Proteinogenic_51200_01	Alanine		3	257604.0	259475.99103710975	0.12613285566978144	2.8544235001643973e-17	0.48146869210214577
Proteinogenic_51200_02	Alanine		0	336204.0	339390.2845056196	0.16452227234913971	0.0	0.48564780791229917
Proteinogenic_51200_02	Alanine		1	697172.0	703520.6983437488	0.3410375288284091	0.0	0.48564780791229917
Proteinogenic_51200_02	Alanine		2	751349.0	757933.7333062468	0.36741470155886513	0.0	0.48564780791229917
Proteinogenic_51200_02	Alanine		3	260152.0	262038.80508207492	0.12702549726358603	1.4232557976217497e-17	0.48564780791229917
Proteinogenic_51200_03	Alanine		0	334967.0	338141.56116522674	0.16993607107490552	0.0	0.48078988682400614
Proteinogenic_51200_03	Alanine		1	674084.0	680214.8392705417	0.3418480617234797	-5.902061080671916e-17	0.48078988682400614
Proteinogenic_51200_03	Alanine		2	718255.0	724543.849271487	0.3641260028563058	0.0	0.48078988682400614
Proteinogenic_51200_03	Alanine		3	245146.0	246916.03253560344	0.12408986434530901	1.475515270167979e-17	0.48078988682400614
Proteinogenic_51200_04	Alanine		0	288576.0	291310.9027301688	0.14949578258763815	3.013419388101014e-17	0.4911993589291634
Proteinogenic_51200_04	Alanine		1	682574.0	688820.9789984272	0.35349116820916204	0.0	0.4911993589291634
Proteinogenic_51200_04	Alanine		2	716541.0	722807.0486910018	0.3709322390312713	0.0	0.4911993589291634
Proteinogenic_51200_04	Alanine		3	243924.0	245683.95169679288	0.12608081017192851	0.0	0.4911993589291634
Proteinogenic_51200_05	Alanine		0	314402.0	317381.66181584937	0.16024081008951224	0.0	0.4870330513429508
Proteinogenic_51200_05	Alanine		1	676167.0	682333.396308501	0.34449897183739026	0.0	0.4870330513429508
Proteinogenic_51200_05	Alanine		2	724869.0	731218.9176820779	0.36918047202783044	0.0	0.4870330513429508
Proteinogenic_51200_05	Alanine		3	247929.0	249720.40080684866	0.12607974604526703	0.0	0.4870330513429508
Intracellular_16_01	Arginine		0	305918.0	312465.6894985518	0.022480932365880564	0.0	0.49578495051810023
Intracellular_16_01	Arginine		1	1243336.0	1269170.5170220966	0.0913128625409468	-1.7005557898339258e-17	0.49578495051810023
Intracellular_16_01	Arginine		2	3169400.0	3232795.2137434673	0.23258953861315432	0.0	0.49578495051810023
Intracellular_16_01	Arginine		3	4284630.0	4363076.4099734705	0.3139097474580075	0.0	0.49578495051810023
Intracellular_16_01	Arginine		4	3221037.0	3265828.746072247	0.2349661982946739	0.0	0.49578495051810023
Intracellular_16_01	Arginine		5	1275021.0	1276227.5848773464	0.0918205965753936	0.0	0.49578495051810023
Intracellular_16_01	Arginine		6	192102.0	179578.65073563321	0.012920124151943312	-2.1256947372924073e-18	0.49578495051810023
Intracellular_16_02	Arginine		0	299464.0	305873.55186682154	0.024258199629038586	0.0	0.4952751345886636
Intracellular_16_02	Arginine		1	1134395.0	1157914.2027089885	0.09183178379163592	0.0	0.4952751345886636
Intracellular_16_02	Arginine		2	2852227.0	2909137.42336526	0.2307176803407574	0.0	0.4952751345886636
Intracellular_16_02	Arginine		3	3870374.0	3941216.205957774	0.31256971687095486	0.0	0.4952751345886636
Intracellular_16_02	Arginine		4	2934063.0	2975092.953960071	0.2359484772437362	-3.7490916316308204e-17	0.4952751345886636
Intracellular_16_02	Arginine		5	1148538.0	1149497.2073192373	0.0911642492722402	1.8745458158154102e-17	0.4952751345886636
Intracellular_16_02	Arginine		6	181582.0	170347.30421311586	0.0135098928516368	0.0	0.4952751345886636
Intracellular_16_03	Arginine		0	285228.0	291332.852870027	0.029463583693279175	0.0	0.4919757269023664
Intracellular_16_03	Arginine		1	885522.0	903750.6343834203	0.09139969005105492	0.0	0.4919757269023664
Intracellular_16_03	Arginine		2	2234361.0	2278738.863406953	0.23045740484020133	0.0	0.4919757269023664
Intracellular_16_03	Arginine		3	3029113.0	3084561.9536811397	0.3119533151996918	0.0	0.4919757269023664
Intracellular_16_03	Arginine		4	2271099.0	2302663.0346134454	0.2328769459722456	-4.7808313004237835e-17	0.4919757269023664
Intracellular_16_03	Arginine		5	898229.0	899029.5517767768	0.09092222926648015	1.1952078251059459e-17	0.4919757269023664
Intracellular_16_03	Arginine		6	136622.0	127819.16097907667	0.012926830977047029	0.0	0.4919757269023664
Intracellular_16_04	Arginine		0	191522.0	195621.22459005888	0.025421371420900805	0.0	0.4934377081107226
Intracellular_16_04	Arginine		1	697080.0	711513.3718834817	0.09246259313370381	0.0	0.4934377081107226
Intracellular_16_04	Arginine		2	1742429.0	1777149.3304080116	0.23094412834487016	0.0	0.4934377081107226
Intracellular_16_04	Arginine		3	2380787.0	2424397.9950860413	0.31505539357666157	0.0	0.4934377081107226
Intracellular_16_04	Arginine		4	1766147.0	1790608.4699206776	0.23269317058338088	0.0	0.4934377081107226
Intracellular_16_04	Arginine		5	693715.0	694129.4833196986	0.09020352186551414	0.0	0.4934377081107226
Intracellular_16_04	Arginine		6	108513.0	101728.48446015138	0.01321982107496869	0.0	0.4934377081107226
Intracellular_16_05	Arginine		0	121742.0	124347.69438520352	0.037131937840564636	0.0	0.4865720470405102
Intracellular_16_05	Arginine		1	298720.0	304804.36883148446	0.09101879156619068	0.0	0.4865720470405102
Intracellular_16_05	Arginine		2	758871.0	773844.2808266488	0.23108058316641172	0.0	0.4865720470405102
Intracellular_16_05	Arginine		3	1016737.0	1035320.1858182243	0.30916089739303304	0.0	0.4865720470405102
Intracellular_16_05	Arginine		4	763320.0	773899.5077161413	0.23109707467787802	-3.52898714201894e-17	0.4865720470405102
Intracellular_16_05	Arginine		5	296816.0	296982.1152541589	0.08868295868209541	0.0	0.4865720470405102
Intracellular_16_05	Arginine		6	42625.0	39608.87466887903	0.011827756673826519	2.2056169637618376e-18	0.4865720470405102
Proteinogenic_12800_01	Arginine		0	194264.0	198421.91275030124	0.019712450055229033	0.0	0.4962232115085781
Proteinogenic_12800_01	Arginine		1	898732.0	917474.4476032284	0.0911475399800571	0.0	0.4962232115085781
Proteinogenic_12800_01	Arginine		2	2336269.0	2383175.7869430482	0.23675930254772057	0.0	0.4962232115085781
Proteinogenic_12800_01	Arginine		3	3106971.0	3163771.0420742296	0.3143084238460627	0.0	0.4962232115085781
Proteinogenic_12800_01	Arginine		4	2323754.0	2355818.6657560403	0.23404147830351837	-4.696335890943762e-17	0.4962232115085781
Proteinogenic_12800_01	Arginine		5	911369.0	911992.1245980293	0.0906028923807639	0.0	0.4962232115085781
Proteinogenic_12800_01	Arginine		6	144058.0	135162.91235986637	0.01342791288664825	0.0	0.4962232115085781
Proteinogenic_12800_02	Arginine		0	190304.0	194377.1552322269	0.019898847467534397	0.0	0.49784958569312376
Proteinogenic_12800_02	Arginine		1	854497.0	872302.7271131511	0.08929968592040091	0.0	0.49784958569312376
Proteinogenic_12800_02	Arginine		2	2231263.0	2276051.268891329	0.23300473234031388	0.0	0.49784958569312376
Proteinogenic_12800_02	Arginine		3	3043305.0	3099194.4932630984	0.31727184411144355	0.0	0.49784958569312376
Proteinogenic_12800_02	Arginine		4	2274751.0	2306368.1281208135	0.2361083406670305	0.0	0.49784958569312376
Proteinogenic_12800_02	Arginine		5	888007.0	888519.4338267619	0.09095982840439988	0.0	0.49784958569312376
Proteinogenic_12800_02	Arginine		6	140165.0	131448.7770347996	0.013456721088876945	0.0	0.49784958569312376
Proteinogenic_12800_03	Arginine		0	188492.0	192526.3722466838	0.019968638068364002	0.0	0.49748957948975137
Proteinogenic_12800_03	Arginine		1	859395.0	877310.1640224963	0.09099371132706752	0.0	0.49748957948975137
Proteinogenic_12800_03	Arginine		2	2191770.0	2235708.1370944656	0.23188535728982287	4.9030344831668766e-17	0.49748957948975137
